번호,행정동,법정동/리,고택명,소재지,분야,설립년도,창건자,소유자,관리자,구조,문화재 지정,숙박 여부,별칭,중복의심
136,도산면,단천리,갈운정,안동시 도산면 단사길 15,정자,1770년대,문중,단산 문중,이동재,"정면 3칸, 측면 1칸, 겹처마 팔작지붕",안동시 문화유산,X,,False
137,도산면,단천리,안동 백운재사,안동시 도산면 단사길 29,재사,미상,미상,,,,비지정,X,,False
138,도산면,동부리,겸재,안동시 도산면 월천길 437-12,정자,미상,조목,,,"정면 3칸, 측면 2칸, 홑처마 팔작지붕, 'ㅡ'자형",비지정,X,,False
139,도산면,동부리,월천서당,안동시 도산면 월천길 437-7,서원,1539년,조목,조동주,조병근,"정면 4칸, 측면 2칸, 팔작지붕, 'ㅡ'자형",경북 기념물,X,,False
140,도산면,서부리,안동 서부동 송곡고택,안동시 도산면 선성길 13-5,주거가옥,19세기,미상,신정순,오용원,"정침: 6X6, 'ㅁ'자형, 홑처마, 맞배지붕 행랑채: 5X1, 홑처마 팔작지붕 별당: 3X2, 'ㅡ'자형, 홑처마 팔작지붕",경북 민속문화재,X,,False
141,도산면,서부리,예안향교,안동시 도산면 퇴계로 2020-13,향교,1415년,미상,안동시,이재탁총무 박천민전교,"대성전: 3X3, 홑처마 맞배지붕 명륜당: 4X2, 홑처마 팔작지붕 동재, 서재: 민도리계 3량가 홑처마 팔작지붕 전사청: 전면 2칸, 측면 1칸, 민도리계 홑처마 맞배지붕 교직사: 전면 5칸, 측면 3량가 민도리계 홑처마 맞배지붕",경북 유형문화재,X,,False
142,도산면,서부리,용암정,안동시 도산면 서부리 산 16-1,정자,1913년,미상,신정순,신정순,"3X2, 팔작지붕",경북 유형문화재,X,,False
143,도산면,서부리,호계서원,안동시 도산면 퇴계로 1997 (한국국학진흥원),서원,1573년,미상,,,"5X3, 홑처마 맞배지붕, 'ㅡ'자형",경북 유형문화재,X,,False
144,도산면,온혜리,근포재,안동시 도산면 온혜중마길 46-3,주거가옥,미상,미상,,,,비지정,X,,False
145,도산면,온혜리,안동 진성이씨 온혜파 종택,안동시 도산면 온혜중마길 46-5,주거가옥,1454년 / 1931년(개수),이계양,이창건,이창건,"정침: 'ㅁ'자형, 홑처마, 팔작지붕+맞배지붕 노송정: 4X2, 'ㄱ'자형, 홑처마, 팔작지붕 사당: 3X1.5, 'ㅡ'자형, 홑처마, 팔작지붕",국가민속문화재,O,"노송정, 노송정종택, 퇴계태실",False
146,도산면,온혜리,안동 칩와당고택,안동시 도산면 퇴계로 2642-13,주거가옥,미상,미상,이재익,이재익,"문간채: 6X1, 'ㅡ'자형, 홑처마, 팔작지붕 안채: 5X2, 'ㄷ'자형, 홑처마, 맞배지붕",경북 문화재자료,X,이헌,False
147,도산면,온혜리,온계종택,안동시 도산면 온혜중마길 20,주거가옥,미상,이래,류명석,류명석,"안채 삼백당(사랑채): 3X2, 홑처마 팔작지붕 사당: 대문채",비지정,O,삼백당,False
148,도산면,온혜리,요산정,안동시 도산면 온혜중마길 22-10,정자,미상,이완,이창건,이창건,"3X2, 팔작지붕",비지정,X,낙산정,False
149,도산면,온혜리,진성이씨 고산재사,안동시 도산면 퇴계로 2838-25,재사,미상,고성이씨 문중,,,"몸채(강당): 5X0.5 대문채: 5X1, 팔작지붕 고방채: 5X1, 우진각 지붕",비지정,X,,False
150,도산면,온혜리,진성이씨 수곡재사,안동시 도산면 온혜중마길 22-33,재사,1553년,"설희, 진성이씨 문중",,,"5X1.5, 'ㅁ'자형 건물",비지정,X,,False
151,도산면,온혜리,취규정,안동시 도산면 용수길 116-15,정자,미상,풍천임씨 문중,풍천임씨 문중,임은순,"4X1.5, 팔작지붕",비지정,X,,False
152,도산면,온혜리,취미헌,안동시 도산면 송온길 531-14,정자,1490년대,미상,,이구,"51.5, 홑처마 팔작지붕",비지정,X,,False
153,도산면,온혜리,침천정,안동시 도산면 용수길 13-19,정자,1790년대,이휘재,이필주,이정희,5X1.5,안동시 문화유산,X,,False
154,도산면,운곡리,고계산방,안동시 도산면 백운로 295-10,정자,미상,미상,이근필,,"몸채: 4칸X1.5, 팔각지붕 고방채: 2X1.5 맞배지붕",비지정,X,고계정,False
155,도산면,운곡리,금학당,안동시 도산면 구레실길 212,정자,미상,미상,,,1X1.5,비지정,X,,False
156,도산면,원천리,목재고택,안동시 도산면 백운로 533-20,주거가옥,미상,미상,이옥비,이옥비,"정침: 5X6, 'ㅁ'자형",비지정,O,,False
157,도산면,원천리,사은구장,안동시 도산면 백운로 559,주거가옥,미상,미상,이익희,이필근,"정침: 5X6, 맞배지붕, 'ㅁ'자형",비지정,X,이원영 목사 생가,False
158,도산면,원천리,영천이씨 연곡재사,안동시 도산면 송온길 367-15,재사,미상,미상,,,"몸채: 4X0.5, 팔작지붕, 'ㅡ'자형 대문채 :'ㅡ'자형",비지정,X,,False
159,도산면,원천리,원대정,안동시 도산면 백운로 533-25,정자,미상,미상,이재철,진성이씨 문중,"4X1.5, 홑처마 팔작지붕",비지정,X,,False
160,도산면,원천리,원호정사,안동시 도산면 백운로 573,정자,1977년,문중,이장환,이동열,"3X1.5, 홑처마 팔작지붕",비지정,X,,False
161,도산면,원천리,월란정사,안동시 도산면 원천리 372,정자,미상,미상,단산문중,,"3X1.5, 홑처마 팔작지붕",안동시 문화유산,X,,False
162,도산면,원천리,진성이씨 원대고택,안동시 도산면 백운로 557,주거가옥,미상,미상,이재익,이재익,"정침: 6X6.5, 'ㅁ'자형",비지정,X,"원대구택, 원대종택, 원대처사",False
163,도산면,의일리,병암정,안동시 도산면 의촌길 20-65,정자,미상,미상,,,,경북 문화재자료,X,,False
164,도산면,의일리,안동 번남고택,안동시 도산면 의촌길 76-5,주거가옥,미상,이휘부,진성이씨 의인파번남 문중,이동익,"정침: 6X6, 'ㅁ'자형",국가민속문화재,X,"번남댁, 삼호당",False
165,도산면,의일리,야당정,안동시 도산면 웃제비실길 56,정자,미상,박계종,,,,안동시 문화유산,X,,False
166,도산면,태자리,안동 수운정,안동시 도산면 태자로 172-3,정자,미상,금보,봉화금씨 문중,배연석,"4X2, 팔작지붕",경북 문화재자료,X,,False
167,도산면,토계리,계동정사,안동시 도산면 하계길 1-12,정사,미상,미상,,,"5X1.5, 팔작지붕",비지정,X,,False
168,도산면,토계리,계상서당,안동시 도산면 백운로 251-11,서당,미상,미상,,,,비지정,X,,False
169,도산면,토계리,도계정사 및 진성이씨 송당종가,안동시 도산면 백운로 36,정자,미상,미상,이광섭 (송당종가),김명복 (송당종가),,"비지정 (도계정사, 송당종가)",X,,False
170,도산면,토계리,만포택,안동시 도산면 하계길13,주거가옥,19세기기 말,미상,,,"4X4, 'ㅁ'자형, 맞배지붕 ('ㄱ'자형 뒤채, 'ㄴ'자형 앞채)",비지정,X,만포댁,False
171,도산면,토계리,백동서당,안동시 도산면 백운로308-97,서당,미상 / 1977년(중수),미상,,,"2X1, 맞배지붕(현대식 판넬)",비지정,X,,False
172,도산면,토계리,백운서당,안동시 도산면 백운로321-47,서당,미상,미상,,,,비지정,X,,False
173,도산면,토계리,산천정사,안동시 도산면 백운로273-9,정사,미상,미상,,,,비지정,X,도산면,False
174,도산면,토계리,수졸당 및 재사,안동시 도산면 하계길 1-9,재사,미상,미상,이재영,이재영,"재사: 5X6, 'ㅁ'자형, 홑처마, 맞배지붕 사당: 3X2, 'ㅡ'자형, 홑처마, 맞배지붕 정자: 5X6, 'ㅡ'자형, 홑처마, 팔작지붕",경북 민속문화재,O,동암종택,False
175,도산면,토계리,안동 도산서원,안동시 도산면 도산서원길 154,서원,1574년,"지방 유림, 법련, 정일",국가,도산서원관리사무소,"역락서재: 3X1 농운정사: 4X3, 민도리식 맞배지붕, '工'자형 도산서당: 3X1 상고직사: 5X7, 'ㅁ'자형 하고직사: 3.5X3, 'ㄷ'자형 동재, 서재: 3X2 전교당: 4X2, 편실형 상덕사: 3X2",사적 및 보물,X,,False
176,도산면,토계리,안동 수석정,안동시 도산면 하계길 46-17,정자,1796년,이야순,,,"3X1.5, 팔작지붕",비지정,X,,False
177,도산면,토계리,유천헌,안동시 도산면 하계길 50,정자,,,이동후,이동후,,안동시 문화유산,X,,False
178,도산면,토계리,진성이씨 초초암고택,안동시 도산면 하계길 29-1,주거가옥,미상,미상,,,,비지정,X,,False
179,도산면,토계리,퇴계종택,안동시 도산면 백운로 268,주거가옥,1926~1929년,이충호,이근필,이근필 따님,"안채: 7X2, 'ㅡ'자형, 홑처마, 팔작지붕 사랑채: 6X2, 'ㅡ'자형, 홑처마, 팔작지붕 추월한수정(정자) 5.5X2.5., 'ㅡ'자형, 홑처마, 팔작지붕 사당:3X2, 'ㅡ'자형, 홑처마, 맞배지붕",경북 기념물,X,,False
180,도산면,토계리,하계정,안동시 도산면 백운로 308-98,정자,미상,미상,이동선,이동선,"2X1.5, 'ㅡ'자형",비지정,X,하계당,False
181,북후면,대현리,광산김씨 거인재사,안동시 북후면 서삼거인길 58-109,재사,미상,창녕조씨 문중,,,"주사채: 7X3,'ㄷ'자형 강당: 5X1. 'ㅡ'자형",비지정,X,,False
182,북후면,도진리,임영섭 가옥,안동시 북후면 산약길 268,주거가옥,미상,미상,임홍락,권인섭,"8X4.5, 'ㅁ'자형",비지정,X,,False
183,북후면,도촌리,금오정,안동시 북후면 도계길 8-7,정자,미상,권가,,,,비지정,X,,False
184,북후면,도촌리,벽산정,안동시 북후면 장골길 14,정자,미상,미상,,,,비지정,X,,False
185,북후면,도촌리,안동 도계서원 및 만대헌,안동시 북후면 모산미길 16-6,서원,1709년 / 1923년(복원),지방 유림,안동권씨 도촌문중,권영근,,경북 유형문화재 (만대헌) 비지정 (도계서원),X,,False
186,북후면,도촌리,안동권씨 도촌문중종택,안동시 북후면 모산미길 18,주거가옥,미상 / 1948년(재건),미상,안동권씨 도촌문중,권석창,,비지정,X,,False
187,북후면,도촌리,천산정사,안동시 북후면 도장길 60-1,정자,1943년,권석하,,,"3x1,5, 겹처마, 팔작지붕",비지정,X,추월헌,False
188,북후면,두산리,안동권씨 말산재사,안동시 북후면 하양지길 25,재사,미상,안동권씨 문중,안동권씨 도촌문중,원종일,"4X2, 'ㅁ'자형, 홑처마, 팔작지붕",경북 민속문화재,X,,False
189,북후면,두산리,일산정,안동시 북후면 음지마길 40,정자,1945년,"밀양박씨 5세손, 6세손",,,"3X1, 팔작지붕",비지정,X,,False
190,북후면,두산리,한사정,안동시 북후면 두산큰들길 59-39,정자,미상,횡성조씨 문중,,,"3X1.5, 홑처마 팔작지붕",비지정,X,,False
191,북후면,물한리,작산구강당 및 주사,안동시 북후면 저전물한길 194-38,재사,미상,진성이씨 문중,진성이씨 문중,이세준,"강당: 5X2, 'ㅡ'자형, 홑처마, 팔작지붕 주사: 5X5, 'ㅁ'자형, 홑처마, 팔작지붕",경북 민속문화재,X,,False
192,북후면,물한리,작산정사 및 진성이씨 가창재사,안동시 북후면 저전물한길 194-48,재사,1480년,이황의 조부 3형제,진성이씨 문중,이세준,"정사: 4X1.5, 'ㅡ'자형, 홑처마 팔작지붕 사당: 3X1.5, 홑처마, 맞배지붕 재사: 6X6 'ㅁ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
193,북후면,석탑리,석탑사,안동시 북후면 산북로 260-14,사찰,681년 / 1987년 (중건),의상,석탑사,석탑사,"원통전: 3X2, 겹처마, 맞배지붕 산신각: 1X1, 홑처마, 맞배지붕 요사: 3X2, 맞배지붕",비지정,X,,False
194,북후면,석탑리,영봉사,안동시 북후면 구둠실길 171,사찰,"통일신라 / 1949년(소실), 1957년(중건)",의상,,,"극락전: 3x2, 팔작지붕 산신각: 1x1 요사채(향로전): 6x2, 함석지붕",비지정,X,,False
195,북후면,신전리,예천임씨 학산정,안동시 북후면 새마길 39,정자,1921년,예안임씨 문중,,,"3X1.5, 홑처마 팔작지붕",비지정,X,,False
196,북후면,신전리,일우당,안동시 북후면 북절길 54-3,정자,미상,경주김씨 문중,,,"3X2, 겹처마 팔작지붕",비지정,X,,False
197,북후면,연곡리,지연재,안동시 북후면 종실길 19,정자,미상,안동권씨 연곡파,,,"3X1.5, 겹처마 팔작지붕",비지정,X,,False
198,북후면,오산리,봉서정,안동시 북후면 새나길 12-41 (건물 뒷편 산중턱),정자,미상,미상,,,,비지정,X,,False
199,북후면,오산리,안동권씨 연원재사,안동시 북후면 잣밭길 39-27,재사,미상,미상,,,"강당: 'ㄱ'자형, 홑처마 팔작지붕 주사: 5칸, 'ㄱ'자형 우진각지붕",비지정,X,,False
200,북후면,오산리,안동권씨 오이재,안동시 북후면 잣밭길 67-10,재사,미상,미상,,,"강당: 3X1, 팔작지붕 주사채: 4X1, 우진각지붕",비지정,X,,False
201,북후면,옹천리,봉서사,안동시 북후면 북평로 1057-11,사찰,미상,미상,봉서사,봉서사,"보광전: 3X2, 겹처마 팔작지붕 포란루: 3X2, 맞배지붕 응향각: 3X2 산신각: 1X1, 맞배지붕 요사채: 4X2X1",비지정,X,,False
202,북후면,옹천리,사익재,안동시 북후면 산북로 1557,서당,미상,미상,진주강씨 문중,강진원,"4X2, 홑처마 팔작지붕",비지정,X,,False
203,북후면,옹천리,쌍암정려,안동시 북후면 옹천리 산 166 (사익재 옆 산중턱),정자,1927년,강형수,,,"2X1, 팔작기와집",비지정,X,쌍암정,False
204,북후면,옹천리,진주강씨 산고재사,안동시 북후면 옹천밤실길 14-21,재사,미상,미상,,,"주사채: 6X3, 맞배지붕, 'ㄷ'자형 강당: 4X1.5, 팔작지붕, 'ㅡ'자형",안동시 문화유산,X,,False
205,북후면,옹천리,진주강씨 일원재,안동시 북후면 옹천북4길 9-9,재사,미상,미상,,,"4X2, 홑처마 팔작지붕, 'ㅡ'자형",안동시 문화유산,X,,False
206,북후면,장기리,벽계서원,안동시 북후면 벽절길 21-3,서원,1860년,지방 유림,옥계문중,,,비지정,X,,False
207,북후면,장기리,옥산사,안동시 북후면 벽절길 137,사찰,통일신라 추정 / 1964년 (신축),미상,옥산사,옥산사,"법당: 4x2, 팔작지붕 요사: 4x2, 팔작지붕",비지정,X,,False
208,서후면,광평리,안동 개목사 및 원통전,안동시 서후면 개목사길 362,사찰,신라시대 (원통전: 1457년),의상,개목사 스님,개목사 스님,"원통전: 3X2, 맞배지붕",보물 (원통전),X,,False
209,서후면,광평리,함벽당,안동시 서후면 개목사길 191-4,정자,미상 / 1862년(중건),미상,류기운,류기운,"3X3, 'T'자형, 홑처마, 맞배지붕",경북 문화재자료,X,,False
210,서후면,교리,단계종택,안동시 서후면 교리새마을길 73,주거가옥,미상,미상,,,,비지정,X,,False
211,서후면,교리,단계종택 창렬서원,안동시 서후면 교리새마을길 69,서원,1804년 / 1989년(복설),미상,하용락,하용락,강당(숭렬당): 4X1 사당(창렬사): 3X1 성인재: 3X1,비지정,O,"창열서원, 창렬사",False
212,서후면,교리,송암구택 및 관물당,안동시 서후면 교리향교길 45-18,주거가옥,"1569년 / 1966년, 2007년(중수)",미상,권기철,권석환,"정침: 6X6, 'ㅁ'자형, 홑처마, 팔작지붕+맞배지붕 관물당: 3X2, 'ㅡ/丁'자형, 팔작지붕+맞배지붕",비지정,X,,False
213,서후면,교리,안동권씨 대표재사,안동시 서후면 교리운곡길 25-10,재사,"1847년 / 1907년,1995년(중건)",안동권씨 문중,,,"ㅁ'자형 강당: 4X1, 'ㅡ'자형, 홑처마, 맞배지붕 주사: 'ㄷ'자형",비지정,X,,False
214,서후면,교리,안동권씨 송파재사,안동시 서후면 교리향교길 31,재사,미상 / 1784년(중건),안동권씨 문중,안동권씨 판서공파문중,권오제,"7X6, 'ㅁ'자형, 홑처마, 맞배지붕",경북 유형문화재,X,,False
215,서후면,교리,운곡정,안동시 서후면 교리운곡길 57-17,주거가옥,미상,미상,,,"튼 'ㅁ'자형 안채: 5X2, 'ㄴ'자형 사랑채: 5X2, 'ㄱ'자형",비지정,X,,False
216,서후면,교리,한서재,안동시 서후면 교리향교길 45-16,정자,조선중기,권호문,,,,안동시 문화유산,X,,False
217,서후면,금계리,경광서원,안동시 서후면 금계3길 131-24,서원,1688년 / 1972년(복원),지방 유림,,,"강당: 5X2, 홑처마, 맞배지붕 사당: 3X2, 홑처마, 맞배지붕",비지정,X,,False
218,서후면,금계리,광풍정,안동시 서후면 풍산태사로 2885-23,정자,미상,미상,장성진,장성진,"3X2, 홑처마, 팔작지붕",경북 문화재자료,X,,False
219,서후면,금계리,금호정사,안동시 서후면 금계1길 41-47,정자,미상,미상,,,,비지정,X,,False
220,서후면,금계리,동호정,안동시 서후면 풍산태사로 2833-28,정자,미상,번영청,원주변씨 간재종택,변현구,"3X1.5, 홑처마, 팔작지붕",비지정,X,,False
221,서후면,금계리,모계정사,안동시 서후면 풍산태사로 2833-49,정사,미상,김홍락,,,"정사: 3X1, 홑처마, 팔작지붕 대문채: 3X1, 솟을대문",비지정,X,,False
222,서후면,금계리,미산재,안동시 서후면 금계2길 69-3,정자,미상,미상,,,,비지정,X,,False
223,서후면,금계리,소계서당,안동시 서후면 금계1길 9,서원,조선후기,김흥락,의성김씨 문중,김철수,"3X2, 홑처마, 팔작지붕",비지정,X,소계정사,False
224,서후면,금계리,안동 풍산류씨 금계재사,안동시 서후면 권태사길 116,재사,미상,미상,풍산류씨 입암공파 문중,류상선,"숭실재: 6X2, 'ㅡ'자형, 겹처마, 맞배지붕 영모루: 5X2, 'ㅡ'자형, 겹처마, 맞배지붕 아래채: 3X1, 'ㅡ'자형, 홑처마, 팔작지붕 동재(우익랑): 3X1, 'ㅡ'자형, 홑처마, 팔작지붕 동부속재(좌익랑): 4X1, 'ㅡ'자형, 홑처마, 팔작지붕",국가민속문화재,X,숭실재,False
225,서후면,금계리,우헌정사,안동시 서후면 귀여리길 240-3,정자,미상,,,,"3X1, 홑처마, 팔작지붕",비지정,X,,False
226,서후면,금계리,원주변씨 간재종택 및 간재정,안동시 서후면 풍산태사로 2720-30,주거가옥,1763년 / 1949년(중수),"미상(종택), 변중일(간재정)",변성렬 주영숙,변현구,"종택: 1.5X5.5, 'ㅁ'자형, 홑처마, 팔작지붕 정자(간재정): 3X1.5, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,O,,False
227,서후면,금계리,의성김씨 겸와고택,안동시 서후면 부루골길 7,주거가옥,미상,미상,김원택,김원택,"5X5, 'ㅁ'자형",비지정,X,겸와재,False
228,서후면,금계리,의성김씨 학봉종택,안동시 서후면 풍산태사로 2830-6,주거가옥,1762년,김굉찬,김종길,김철수,"巴'자형, 홑처마, 팔작지붕+맞배지붕",경북 기념물,O,,False
229,서후면,금계리,제월대,안동시 서후면 풍산태사로 2885-23 (광풍정 위),정자,1987년,안동장씨 문중,,,"3X2, 홑처마, 팔작지붕",비지정,X,,False
230,서후면,금계리,칠계재고택,안동시 서후면 풍산태사로 2685-64,주거가옥,미상,장세규,장영찬,장영찬,"6X6, 'ㅁ'자형 안채: 5X4, 홑처마, 홑처마, 팔작지붕 사랑채: 3X1",비지정,O,,False
231,서후면,명리,안동 진성이씨 도솔원재사,안동시 서후면 학가산온천길 143-15,재사,미상,미상,진성이씨 두솔원문중,이홍식,"5X4, 홑처마, 팔작지붕, 'ㅁ'자형",경북 문화재자료,X,두솔원재사,False
232,서후면,명리,제월당,안동시 서후면 귀여리길 110-15,정사,미상,미상,,,"3X2, 홑처마, 팔작지붕",비지정,X,,False
233,서후면,성곡리,만희당,안동시 서후면 성곡제일길 96,정자,1972년,권영세,,,"3X2, 맞배지붕",비지정,X,,False
234,서후면,성곡리,봉림정사,안동시 서후면 봉림사지길 65-52,정사,미상,미상,안동장씨 문중,장성진,"4X2, 홑처마, 팔작지붕",비지정,X,,False
235,서후면,성곡리,봉림정,안동시 서후면 성곡독실길 137,정자,미상 / 2007년(재건),미상,영해박씨 문중,,,비지정,X,,False
236,서후면,성곡리,성와고택,안동시 서후면 성곡제일길 2-32,주거가옥,미상,미상,,,"6X5.5, 'ㅁ'자집, 홑처마, 팔작지붕",비지정,X,만산재,False
237,서후면,성곡리,안동권씨 금서헌공파재사,안동시 서후면 성곡제일길 96,재사,1782년 / 1915년(중건),안동권씨 문중,,,"5X5, 'ㅁ'자형",비지정,X,"금서헌종택, 성곡재사",False
238,서후면,성곡리,안동권씨 능동재사,안동시 서후면 권태사길 87,재사,1653년 / 1896년(중건),안동권씨 문중,안동권씨문중,박용석,"재사: 7X3, 'ㅡ'자형, 홑처마, 팔작지붕 추원루: 7X2, 'ㅡ'자형, 홑처마, 팔작지붕 공성재: 3X2, 'ㅡ'자형, 홑처마, 맞배지붕 동서재: 3X1, 'ㅡ'자형, 홑처마, 맞배지붕 별채: 4X2, 'ㅡ'자형, 홑처마, 맞배지붕",국가민속문화재,X,,False
239,서후면,성곡리,안동장씨 경당종택,안동시 서후면 성곡제일길 2-38,주거가옥,미상,미상,장성진,장성진,"6X7, 'ㅁ'자형, 홑처마, 팔작지붕 안채: 6X2 사랑채: 3X2, 팔작지븡 사당: 3X2, 맞배지붕",비지정,O,,False
240,서후면,성곡리,영양남씨 독실재사,안동시 서후면 성곡독실길 40,재사,미상 / 1990년(중건),영양남씨 문중,,,"ㄱ'자형 강당: 4X2, 'ㅡ'자형, 홑처마, 팔작지붕 주사채: 4X1, 'ㅡ'자형, 홑처마, 팔작지붕",안동시 문화유산,X,남독실재사,False
241,서후면,성곡리,유유헌,안동시 서후면 학가산온천길 359-1,정사,1830년,김진국,의성김씨문중,김철수,"3X3, 홑처마, 팔작지붕",비지정,X,,False
242,서후면,성곡리,장태사공 성곡재사,안동시 서후면 성곡독실길 36,재사,1804년,안동장씨 문중,안동장씨 문중 장희경,장희덕,"강당(추원재): 5X2, 'ㅡ'자형, 홑처마, 팔작지붕 동재: 3X3, 'ㅡ'자형, 홑처마, 팔작지붕 서재: 4X1.5, 'ㅡ'자형, 홑처마, 팔작지붕",경북 기념물,X,,False
243,서후면,이송천리,무송재,안동시 서후면 이송천한터길 58,정자,미상,미상,,,,비지정,X,,False
244,서후면,이송천리,침송재사,안동시 서후면 이송천1길 61-25,재사,1922년 / 1988(중건),김해김씨 문중,김해김씨 문중,김해김씨 문중,"4X2, 팔작지붕, 'ㅡ'자형",비지정,X,침송정,False
245,서후면,재품리,광흥사 응진정,안동시 서후면 광흥사길 105,사찰,통일신라시대,의상,광흥사,광흥사,"5X2, 다포계, 겹처마, 팔작지붕",경북 유형문화재,X,,False
246,서후면,저전리,성암정,안동시 서후면 풍산태사로 3411-9,정자,1961년,미상,,,"3X1.5, 홑처마 팔작지붕",비지정,X,,False
247,서후면,저전리,쌍계서재,안동시 서후면 풍산태사로 3411-9,정자,19세기 초,"조덕립, 예립 형제",,,"3X1.5, 홑처마 팔작지붕",비지정,X,쌍계정사,False
248,서후면,저전리,한양조씨 존경재,안동시 서후면 저전1길 6,재사,미상 / 1981년(재건),한양조씨 문중,,,"5X2, 'ㄷ'자형, 팔작지붕+맞배지붕",비지정,X,,False
249,서후면,태장리,명옥대,안동시 서후면 봉정사길 222 (봉정사 올라가는 길 초입),정자,1655년,이황,명옥대계,,2X2,경북 문화재자료,X,,False
250,북후면,태장리,봉정사 만세루,안동시 서후면 봉정사길 222,누각,672년,의상,,봉정사,"5X3, 맞배지붕",경북 유형문화재,X,,False
251,서후면,태장리,봉정사 영산암,안동시 서후면 태장리 902,사찰,19세기 말 추정,미상,국가,봉정사,"ㅁ자형' 웅진전: 3X2, 맞배지붕 송암당: 4X2,.5 관심당: 6X2",경북 민속문화재,X,,False
252,서후면,태장리,안동 봉정사,안동시 서후면 봉정사길 222,사찰,672년,의상,국가,봉정사,"대웅전: 3X3, 다포계 팔작지붕 극락전: 3X4, 주심포계 맞배지붕 화엄강당: 3X2, 다포계 맞배지붕 고금당: 3X2, 주심포계 맞배지붕 만세루: 5X3, 맞배지붕",국보 및 보물,X,"극락전, 대웅전, 화엄강당, 고금당",False
253,서후면,태장리,안동 송은정,안동시 서후면 아랫태장길 43-13,정자,1664년,송형구,,,2X1.5,경북 문화재자료,X,,False
254,서후면,태장리,안동 죽헌고택,안동시 서후면 태장죽헌길 24,주거가옥,1886년,김가진,이철규,이철규,"5X4, 'ㅁ'자형, 홑처마, 맞배지붕",경북 민속문화재,O,춘하원,False
255,서후면,태장리,안동 학천정,안동시 서후면 아랫태장길 83-4,정자,1930년대,의성김씨 문중,,,,비지정,X,,False
256,서후면,태장리,안동김씨 태장재사,안동시 서후면 풍산태사로 3193-6,재사,"1750년 / 1793년, 1913년(재건)",안동김씨 문중,안동김씨문중,이신자,"재사: 9X5, 'ㄷ'자형, 겹처마, 맞배지붕 이상루"" 7X2, 'ㅡ'자형, 홑처마, 팔작지붕 관리사: 'ㄷ'자형",경북 민속문화재,O,안동고택 이상루,False
257,예안면,귀단리,안동 동간재고택,안동시 예안면 부포로 367-17,주거가옥,1844년,평산신씨,백원기,백원기,"안채: 4X4, 'ㅁ'자형, 홑처마, 서산각지붕 사랑채: 2X2, 'ㅡ'자형, 홑처마, 팔작지붕",경북 민속문화재,X,안동예안동간재고택,False
258,예안면,귀단리,정성재,안동시 예안면 부포로 367-13,정자,미상,미상,,,,안동시 문화유산,X,,False
259,예안면,귀단리,학암정,안동시 예안면 부포로 442,정자,미상,미상,,,,비지정,X,예안면,False
260,예안면,도목리,안동권씨 기사리재사,안동시 예안면 기사호반길 154,재사,"미상 / 1818년, 1975년(중건)",안동권씨 문중,,,"4X4, 'ㅁ'자형",비지정,X,,False
261,예안면,도목리,영양남씨 도목정사,안동시 예안면 기사호반길 280,재사,1926년,영양남씨 문중,영양남씨 문중,,4X2,안동시 문화유산,X,,False
262,예안면,부포리,경주손씨 부포재사,안동시 예안면 부포로 756-16 (주택 옆편),재사,미상 / 2003년(신축),경주손씨 문중,,,"4X2, 겹처마, 팔작지붕",비지정,X,,False
263,예안면,부포리,계상고택,안동시 예안면 부포로 833-212,주거가옥,188년대 후반,이만응,,,"7X7, 'ㅁ'자형",비지정,X,,False
264,예안면,부포리,나호정,안동시 예안면 부포못안길 38,정자,미상,매당옹,,,"3X1, 겹처마, 팔작지붕",비지정,X,라호정,False
265,예안면,부포리,부라원루,안동시 예안면 부포리 산 98-2,누각,1600년도 전후,미상,안동시,안동시청 문화유산과,"3X2, 홑처마, 팔작지붕",경북 유형문화재,X,부나원루,False
266,예안면,부포리,색포정,안동시 예안면 부포못안길 16,정자,미상,미상,,,,비지정,X,,False
267,예안면,부포리,안동 성성재 종택,안동시 예안면 부포로 668,주거가옥,조선후기 추정,미상,종부님,금영섭,"정침: 6X6., 'ㅁ'자형, 홑처마, 맞배지붕 사당: 3X1.5, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
268,예안면,부포리,정재,안동시 예안면 부포로 669,정자,미상,미상,,,,안동시 문화유산,X,성재,False
269,예안면,부포리,후계정,안동시 예안면 부포로 542-22,정자,미상,미상,,,,비지정,X,,False
270,예안면,삼계리,서벽정,안동시 예안면 도촌길 3-20,정자,미상,미상,,,,비지정,X,,False
271,예안면,삼계리,오월정,안동시 예안면 오평길 17-10,정자,미상,심의달,청송심씨 문중,청송심씨 문중,"3X2, 홑처마, 팔작지붕",비지정,X,상체헌,False
272,예안면,신남리,영천이씨 자운재사,안동시 예안면 신남정자골길 26-53 (주택 뒷편),재사,미상,영천이씨 문중,영천이씨 문중,이유국,"강당: 4X1.5, 홑처마, 팔작지붕 관리사: 5X1X1X.5, 맞배지붕+팔작지붕",비지정,X,,False
273,예안면,정산리,역동우탁재사 정정재,안동시 예안면 농암로 1333,재사,미상,단양우씨 문중,,,"5X2, 겹처마, 팔작지붕 동서재: 3X1.5, 맞배지붕 문간채: 3X1, 솟을대문",안동시 문화유산,X,단양우씨 정정재,False
